,Question,Answer
8618,lipsmack       I have a real heart for people involved in cults  ,D So  
8619,Laughter,D Well  it is  
8620,F uh  C and ,F Uh  
8621,C And  I must admit that up until I did start using one F uh   it was   I had very little interest in computers , Yeah  
8622, C But   C but    yeah  ,I made some of them with that hair  
8623, D you know  Because the way it is a person really dont have a chance talking ,thats exactly it  
8624,C And  F uh  C so     its  its   its   its   been difficult to try to find the time  ,we just voted in F uh   gun control   strong gun control  here in the state of Maryland  
8625,Im sure they are there ,F Uh  noise lipsmack Im really not sure  
8626,D Like   I  I  get night courses that  they  theyll  cover right now  ,my  
8627,C So   F um  D you know  a lot of  people do have those separated  ,F Oh  okay  
8628,Im sure that virtually everybody in the neighborhood  thats their first homes  ,C And   F uh  of course  those can be  they can be  F oh  a long time apart  
8629,C and  F oh  I took my car up there to their  house  ,C and  well probably forget all about them D you know  
8630,C and  we have a  daughter  ,C and so  I try to tell her       everything isnt always somebody elses fault  
8631,yeah  ,C so  she brings some money in 
8632,Yeah  ,I dont know noise 
8633,C and  I thought how did this get here  ,yeah 
8634,C and  ,Yeah  
8635,C but  the expenses that we need and have around the house ,Uhhuh  
8636,C and  there are no bugs there  ,Do you  think that you should fund that if they have that as a benefit if you would fund that somewhat from your salary that you are getting 
8637,C and  it was okay  , keep you together 
8638, C so  I have to disguise it  ,yeah 
8639,I know a lot of people who when it first be  ,Okay  
8640,They get so much of our money  from oil anyway laughter ,C or  F uh  its about a lawyer  its one of these lawyer shows D you know   
8641,my daughter had  a   D like  a    little goldfish,Laughter  D Well  that did a lot of good  
8642,Uhhuh  ,C and   it  it  does its job  
8643,Yeah  ,Uhhuh  
8644,C but  they  ,up to a point  
8645,youve got art mothers  , Yeah  
8646,We try to save a little bit although were not always successful  ,D Well  C and  F um   its nice for them  
8647,So Ill uh I should be able to take it in and check that part out  ,C So  hes 
8648,Yeah  ,Yeah 
8649,Would you ,Yeah 
8650,At just a small  ,C but  I dont remember what it is  
8651,Laughter,C And   he is  F uh  you can tell he was  weaned too young because hell nurse on your ears and your fingers 
8652,Right  ,Exactly 
8653,F Huh   D Well  this has been an interesting thing to do , F Oh   I  I   really havent listened to that laughter 
8654,I know that a lot of times they ask for information that they dont really need,Right 
8655,Breathing Uhhuh  ,C So   D well  this is an appropriate topic the day after Earth Day  
8656,Huhuh  ,you have to like  
8657,I dont think that theyre going to be serving anybody ,uhhuh 
8658,C And  they go to college etcetera ,C but  yet they accept it 
8659,C But  D you know  we have F uh   , C and   it  its  too costly  
8660,Theres not  much between us and  the North Pole laughter ,Yeah  
8661,Laughter,Uhhuh 
8662,F Uh  I havent really talked to anybody thats D you know  too involved with that  ,Yeah  
8663,I know  just   F uh  just   with me ten years ago I was comparing the  ,C And   F uh  
8664, C but  I have problems with men doing that ,F Um  C and  Im not F uh  F uh  a planner which I wish I was 
8665,  I  i   I  have to say that  , Curious  
8666,I think it was F uh  that woman ,C but  my wife is usually up then   
8667,How long have you been here ,Uhhuh  
8668,Yeah ,theyre sl 
8669,F Oh  uhhuh , F Oh  yeah  
8670,Uhhuh  ,she thinks its wonderful  
8671,F Oh  I see  , He  he  did  
8672,Anything bad   I like  I like to,C and   F uh  
8673,D Like  if you and another lady were to share the same full time job,There was one  when
8674,  C and    F uh  C but    anytime theres a change in the weather like the temperature drastic changes in temperature or in F uh  moisture F uh  you get little spider web cracks all around F uh  windows and doors , C and  F um   its  its  D you know   
8675,C and  thats nap time  ,Yes  
8676,Uhhuh ,Yeah  
8677, D you know  taking care of a whole building , For profit  
8678,D You know  they can get hurt a lot easier,Now we have a lot of pollution being caused by cloruph uh fluorocarbons which is the like freon twelve and freon twentytwo  
8679, we have kind of moved up  ,Uhhuh 
8680,Then I didnt notice any improvement till  the  after the  sixth one ,And I thought gosh  
8681,D Well  we have all kinds of fast foods everywhere  around  ,D Well  Im a drafter  
8682,You have to  F uh    stay in one   single family home  ,Usually January and the first two weeks of February 
8683,C but  F uh  I think drug testing  , I  I  need   competition is what I need 
8684,Yeah  ,F Oh  I love to eat it  
8685,   A  a   its a  bedroom and a walkin closet and a bathroom all on one side of the house ,Really 
8686,C and  F uh  his business is going down the tubes so bad D you know  ,C But  they do have to visit   and    if   if   the parent can point out all the different places to look  for  
8687,if its between zero and ten its cold  ,D well  there was  
8688,Uhhuh ,right  
8689, C And  it just  a li   ,Right laughter 
8690,Uhhuh ,D Well  Jean the subject is jury trials  
8691,I like those laughter ,C And  it looks nice  
8692,      C but   this is from Hong Kong  ,Everybody feels like we should be able to beat them  
8693,E I mean  my neighbor her husband sits in front of the television all of time  ,A I think 
8694, you  know  , and    letting  public letting  you understand
8695,you know  ,yeah 
8696,C but   F uh  , Y 
8697,D You know  ,F Oh  uhhuh 
8698,F Oh  C and  you just dont have any yet  , to   even think about buying new cars every couple of years D you know   
8699,C and  I was so interested in the auto show I didnt think to ask anybody  ,Yeah  
8700,Byebye ,D You know   re  reduction   in  in  medical costs if D you know  they 
8701,I dont think we have a adequate policing uh particularly on industry  ,thats computer stuff  
8702,Yeah ,C But  my experience has been that most people that move into nursing homes die very quickly  
8703,D well  I had one while I was pregnant  , He was  F uh  he was  a Vietnam war veteran 
8704,C but  hes always going out and inventing new things out of scrap and grabbing what he can and D you know  pieces of baling wire  and  and   a few tires and all of a sudden hes got a hang glider  ,You know 
8705,C and  I think thats a change youre going to be seeing more of  in the  in the  future  people having that kind of attitude that the fathers going to take more active role in child rearing , its  its  one of the reasons why D you know  THE GODFATHERs been on our minds lately  
8706,might have been better ,Uhhuh 
8707,victims  ,C but  Im sure that will be good 
8708,That is the disadvantage ,Okay  
8709,Did you go to DANCES WITH WOLVES ,Im going to dress up more breathing 
8710,Im going to have to think of that  ,it said one pound throatclearing  
8711,  Weather channels good laughter       very faint ,D Well  yeah  
8712,I guess D you know  the thing really isnt over ,Really  
8713,Yeah  , C but   C but then   its probably that way anywhere D you know   
8714,C but  I always breathing see  its all  its all  money  ,F Oh  I just thought of something we have to return laughter 
8715, and FORBES magazine ,C and   Im actually making just about as much as  D you know  Im  m  making  actually  over average  over the average   
8716,these people are going to come  ,F Um  when the choir group went to see BACKDRAFT and they thought  that was  F uh  it was  funny cause he sounded like the critics  
8717,Yeah  ,F Uh  everybody has to contribute  
8718,Uhhuh ,No  
8719, its worth making the time for yourself  ,C and  Id love to go back 
8720,F Um  yeah  ,F Um  
8721,C and  they are the biggest collection of screwed up people that laughter   I think Ive ever run into ,C so  I get a pretty good little drive  
8722,Locust Hill ,Thats right  
8723,C so  I didnt really care for that  ,Okay 
8724,C so  I  ,uhhuh 
8725,Huhuh ,I had a friend who was in this  
8726,F Um   Okay  ,uhhuh 
8727,F Uh  I would say so for the majority    in   in  our   in my  little section of the neighborhood because there is always somebody at home  ,Right 
8728,C and  we take a recipe from my grandmother D you know   ,they just raised it to twelve 
8729,C and  we never go to D like  a video tape rental anymore because theres always plenty of things that we can record  and then ,F Uh  pause I think I really dont have a vision laughter 
8730,I stay home also ,C and   F uh  the one male  that she used had a tooth problem  
8731,uhhuh   ,Yeah 
8732,C So  Ive been two nights in a row  ,C But  luckily that will all get straightened out  
8733,C But  they have  ,  left  
8734,hes a record collector   and a Hot Wheels collector ,C but  usually they arent 
8735,Uhhuh ,I think it goes all the way back to the break up of the family 
8736, C but  I actually live in Florida  ,C or  did you have  someone  
8737,Things that need to be mended,Laughter
8738,Ive been down to a dealer and driven them  , F uh   
8739, so that even though his heart was getting incredibly weak and his knees were going bad ,C but  
8740,Exactly    ,I wanted them to learn to play I didnt academics forced on them at an early age 
8741,Yeah  ,Right 
8742,C so   they mailed me the information that I filled out       ,F Um  I would want them to make that decision  
8743,I dont know D You know   ,C and  then I would do them  D like  two times a day  
8744,F Oh  I see  ,D Well  its hot enough here in the summer time that we could have a pool  
8745, that  weve  weve  really liked  ,True 
8746,C so  that was upsetting  ,it seemed like it was  going on forever  
8747,It just doesnt look good , getting your education 
8748,C and   there were  ,okay 
8749,C but  he uses it,C and    I   getting D you know  real world        
8750,Yeah  , C and  you cant find that in all sports 
8751,C and so  D you know  my oldest he was  ,Yeah  
8752, Uhhuh  ,They get burnt off 
8753,and kind of  southern  F uh  southern   food even though Im up here in New York  ,C so  I 
8754,C so  I       school and said hey lets D you know  find a place that has a nice job  ,Do you 
8755, You feel like   laughter ,Jeez 
8756,Right ,Yeah  
8757,its a tough one  , and back up to a real F uh  highly traveled main street 
8758,Im a writer  ,  I know F uh  laughter 
8759,Usually I am not there ,Yeah  
8760,These are people whove never seen flat ground before and people whove never seen property rights before  D You know  these  people whove never seen any machines other than those used in war  , they really F uh  give a lot of information  in the local newspaper  not in the  not in the  bigger city Dallas newspaper  
8761,As a civilian thats never been attached to any form of the military  ,C But  F um  it seems like  people  just   D you know  they just  think D well  I can just have anything I want  
8762,only the Caprice and them and the Cadillac had  eight   F uh  the old   Veights   ,C and  D say  D well  just forget it 
8763,a little more attention to human psychology  ,How about that  
8764, a loser in life as  it is  ,I guess  a lot of  its still a lot of  hype  
8765,starring Kevin Costner  ,C and   its  its  an excellent movie
8766, There are other  ,C And so  F um  D you know  I saw it also as a young student  
8767, F Oh  yeah  ,C So  I try to  
8768,Okay  ,C So    C but   F uh  I dont know  
8769,uhhuh  ,F Uh  Im of the age that could have gone although I didnt  
8770,C and  D you know  laughter,C And  F um  just kind of letting everybody live in a not very good environment laughter 
8771,uhhuh , Oh   
8772, I have through ,F oh  yeah  
8773,What a shame  ,twin cities area 
8774,C and  that scares the hell out of me ,thats how I am too 
8775,Uhhuh ,I didnt really have the money to do it  
8776,Ours are those too  ,C and  hes about ready to put in a pool and things like that  
8777,Right , in the last three years weve probably used a lot more cans than ever before  
8778,F Oh  my goodness ,Yeah 
8779,Yes ,C So  
8780,It seems like San Antonio is increasing in humidity over the years  ,They probably didnt know what they were talking about 
8781,Laughter,Lucky and Spot  thats their names  
8782,its real pretty up there  ,I dont want the  stress 
8783,C And  if you catch the news stations F uh   you dont catch that much in the car ,C So  its not just because you are in Oak Cliff  
8784, thats good size , Thinking I was safe  in buying those  jars as far as the environment was concerned 
8785, I  I  mean she does not know us anymore  , C and  F uh   I really havent been making any  s   phone calls have you  
8786,yeah ,Good 
8787,yeah  ,C and so   i  its  a real difficult  choice whether we want Styrofoam cups to fill up our landfills or F uh  china cups to use up our water laughter 
8788, to watch it babycrying  ,Yeah  
8789, and   that you dont even   see or know about ,Its totally women 
8790,D Well   I  F um  I  do an awful lot of preparation of documents F um  F uh   ,C So  sounds like hes going to be all  right for next season  
8791,Yeah  ,C and then  they got a place where you can dance D you know  and all that kind of stuff 
8792,Right  ,Been to Hawaii 
8793,Uhhuh ,We 
8794,Yeah  ,C Because  R E M really hasnt changed  
8795,F Um  ,Squeak
8796,Uhhuh ,C And   I  usually it is the defendant I  guess that wants to have the jury hear the case 
8797,C so  Ive seen, Oh  
8798,E I mean  here theyre not really that high  ,Thats where we go 
8799,GOOD HOUSEKEEPING is the one that kind of sets around for  when  F uh  when  Im really have time and I really want to read something D you know  ,Yeah 
8800,C and  its a public system however youd think that it was a private school because  I take it the best teachers and the best students  ,There ought to be F uh  F uh  some compromise  that  could    where F uh   where  the person would  be guaranteed swallowing  a F uh  career type position but not necessarily a continuation of exactly the same position 
8801,C but  that would be good    That I dont know    Looks like That    should be an independent slash unit , There  there   was one site that they cleaned up  
8802,D You know   ,It says three for a B gift five for a C gift et cetera  
8803,C and  I use D like  F uh  Miracle Whip salad dressing instead of the actual mayonnaise ,laughter  Also I lived in Georgia for about four years  
8804, what  I  I   like to listen to  ,C And  got it over with 
8805, All right  ,Uhhuh 
8806, I have a  thirteen year old daughter  ,C And  its a game that none of their friends know how to play  
8807,No  ,C but  the third  one is a childrens dog 
8808,Wha ,C But  F uh  most of my cassettes  
8809,C so  ,Uhhuh 
8810, What  what  does  ,C but  
8811,  we  like the  we like the  white mountains  ,F Uh  D well  just last weekend went to Davy Crockett forest 
8812,F Um  let me see  ,C And  I thought I put up with that all those years laughter 
8813,yeah ,C and   somebody that went with me bought a carton for F uh  ten dollars and something  
8814,Yeah  ,  I    I  know here in Dallas that they have just instituted in the last couple of years  a  F uh  a  real long period of time that you can absentee vote before the elections  
8815,Right ,Yeah  
8816,Absolutely  , C and   it was for us many years
8817,Uhhuh ,F Uh  
8818,F Oh  its a cute movie  ,No  
8819,About nine days , the whole  the whole point  of being on a jury is to convict   or  or   or  F uh  let go based on  whether
8820,I guess yeah , and bottles and plastic  
8821,theyre encouraged to do that missionary work  , it  it  sort of  doesnt much D you know   
8822,Laughter,C and  
8823, F uh  cat cam system type things  ,Oh 
8824,Yeah  ,Yeah  
8825, Whats  whats  your most recent one that youve seen ,D now   I didnt think  I thought  the terrorism thing was overstated E I mean  
8826,No doubt ,D So  we had him neutered  and  and  declawed  
8827,D Well  I think that  it  it  varies  on  on  the individual basis , as the day F uh  warms up we may go to light jackets  
8828,C So   you  youve   only known the dog  wh   how long did you say ,F Um  C but   we  F um  we  house  sat for  a   F um   my  F um  my   wifes boss a couple weeks ago  
8829,Yes ,I sure do 
8830,They can come from all over the city  ,if they go back to the inner city they may not see trees for a while
8831,We used to take the paper every day  ,Right  
8832,Yeah  ,C so  thats 
8833,did you cut them down  at the  at the   ground level  ,Thats right  
8834,That and sleeping late laughter ,D So  can I just ask you are you Canadian 
8835,your children  ,C and then  wed sit down
8836,Thats pretty steep ,I think when we moved here it was like a hundred and twenty something like  that  
8837,Okay  ,but not  
8838,C because  E I mean  Purdue even though theyre one of the few schools that really F uh  stress academics theyre suffering D you know   ,C so  I then have also done tax returns in the past for other people when I worked for an accounting firm 
8839,funny  how laughter   how ,Okay  
8840,Uhhuh ,they can find guilt or innocence  
8841, I  F uh  I  called yesterday  I    or  Friday  ,A lot of these lakes and things if you could find a noise centrally located D like   D say  about the same distance for all of you all to come 
8842, w  we  really dont have a formal budgeting situation  ,Uhhuh 
8843,uhhuh ,C and  we  
8844,F Oh   D Well  I was wondering if you got your dog originally as a pet for them or just because youd had dogs before  ,Uhhuh 
8845,Uhhuh ,C Or  they went in the service  
8846,F Uh  national health insurance I think is a problem inasmuch as the quality of health care that people would receive ,D Well  lots right 
8847,C But   F uh   we  we  enjoy it F uh   , I thi  
8848,F Oh  really , C and   C and   F uh  I guess mostly  I  I  like the news shows too the news magazines like SIXTY MINUTES or TWENTY
8849,Madonna ,Uhhuh 
8850,thats it ,C and  you have a good day 
8851,its not like F uh  its someone do steal  a  a  or television or V C R or something like that  ,C so   its  its  fun when we go to that one 
8852,Really , C But  we enjoy  trying F uh   different kinds of chicken or F uh   sh   D you know  even F uh  shrimp  F uh   dishes that are fixed in a Chinese restaurant 
8853,C But   F uh  F uh  he  ,C or   maybe your daughter
8854, Proper interface   ,Yeah  
8855,C And  dont you think that long term  thats been a big boost for the United Nations ,C but  you might be right  
8856, thats  a problem  ,D Well  Im kind of that way too  
8857,C or   D you know  they  ,C But  not really 
8858,C And  they were just all over him and sitting on his head the whole nine yards  , we  weve  seen that  
8859, Yeah  ,Uhhuh 
8860,uhhuh ,C But   that  that  sounds good 
8861,C or  do you hire  someone to do it ,Laughter
8862,F Oh  my gosh ,I think its pretty darned good  
8863,Clint Eastwood ,F Uh  C and  she 
8864,he  , your thighs and your butt 
8865,F Oh  thats my ultimate dream laughter ,C And  they were saying that C N N  is definitely a world F uh  news service  
8866,That is a hugh difference ,cause I went through the public um school system of Boston 
8867,D Well  it is , C but   C but   I loved San Francisco  
8868,Right  ,C and  F uh  
8869,Linda ,  Im  Im   Im  hoping Im hoping 
8870, wouldnt  I be in prison at this point ,C and  F uh  I have to balance more or less what I get from the state with my bills and F uh  D you know  try to work as many days as possible
8871,yeah   ,Uhhuh 
8872,E I mean  Ill give you and   idea that I had F um   ,Yeah  
8873, You said  , Yes   
8874,We are substantially north of New York enough that F uh  ,Im probably a mile mile and a half inside the city limits  
8875,E I mean   I dont  I honestly dont  really think I could have D you know  done much better than I did in the school system I was in,Even if she wants an afternoon just to work
8876,Yeah  ,F Uh  breathing mostly I have just given them away as gifts 
8877,Laughter,Laughter F Oh  they do
8878,C and  there was a murder ,My word isnt that sorry  
8879,When they were younger we would go to the beach  ,Uhhuh 
8880,C and  then  you have the hot Summer Spring laughter ,   some   on  recycling  
8881,I havent found a lot of F uh  fiction books that I really like  ,Yeah 
8882,Yeah  ,they seem to be a part of life laughter 
8883,C or  we bought  the  the  filets and then the chicken or turkey nuggets  , with the Rangers 
8884,Yeah F um   ,His last company he was only working four days a week 
8885,C And then  when you interview for a job or something sometimes people F um   expect the benefits to take the place of a certain salary level ,Yeah  
8886,Maybe  that is  thats   part of it ,  I  I  
8887,C And  the other is with my whole  family whom we F uh  go somewhere that the kids will enjoy breathing  , laughter 
8888, I did  I had  a friend that  said D you know  before we always said we dont want children because we cant go off on the spur of the moment or this or that and the other  ,It was hard  
8889,Okay ,Uhhuh 
8890,C and  they work at the same place I did  ,Okay  
8891,doesnt ever really  p   F uh   , Right  
8892,D Well  let me see  ,C and  you say D well  I made it though at least its mine 
8893, Yes  ,I think that like you said television  
8894,Thats one   ,I guess I havent seen that as much in this area although every now and then you hear about it 
8895,F Um  I guess if I had to rate it from one to ten I guess,D Well  D no  thats  really when  I grew up  
8896, Yeah  ,I think they should either do that  or  or  afford some time to the military  or  or   helping elderly people 
8897,Okay ,D Well  its its F uh   
8898,Right ,D Well  then I have a friend at school that has a boyfriend thats a lawyer  
8899,Uhhuh ,thats about how I am on popular music  
8900, Texas  called P M Melody  who does a lot of writing on codependency  ,I got it so it   wouldnt   wouldnt  shed
8901,Hes a basketball fan because  he  he  plays for the high school he goes to  ,C And   F uh  F uh  we both look forward to going to our next reunions Im sure 
8902, in those begats ,the ones in Indiana  
8903,maybe   that understands colors would know all of that stuff  ,I think it is Marlin or Mart  
8904,I think its the Bart man the Simpsons laughter ,some people just sit on them once in their lifetime  D you know  if theyre that lucky sometimes laughter
8905,thats some of the things I would find important before  I  I  would look into that for a person   is  is   is  like youre saying a good mix of people who have the same interests ,C and   we would have to  wed        
8906,C and  theyre sharp  ,C but  F uh  Im not planning on doing that for a while   
8907,I dont know if its a government run or if its a private ,C but  Ive always worked on a university level  
8908,Yeah  ,C So  thats too much 
8909,C and  at the age of thirtytwo I think it was his F um  heart was that of a fourteen year old  ,doctorate degree in computer science center at Berkeley sigh 
8910,D Well    do   do   they do other things for you all ,I guess the economy  is  is  effecting also the news media  
8911,Sure  ,Right 
8912,Uhhuh ,No privacy 
8913,C and  its good music  ,because you have to deal with the F uh  imi immigration service  
8914,every  day  somebody whos done this or that  something really horrible  ,F oh  yeah  
8915,F Uh  its F uh  an interesting experience to be a surrogate  parent  for  E or  parent  for  a lot of people there  ,People have  
8916,C But  F uh   F uh  I enjoy F uh  F uh  a lot of different comedies  ,Or how far hes going to hit it I think D you know  
8917,What are you all trying to do long term ,I live in Texas 
8918, C and  there are two major newspapers there that run pretty much neck and neck  , C and  its people are desperate  
8919,Especially when theyre not quite to the age of understanding that theyre hurting D you know   ,C and  you might have a car and  that kind of thing  
8920,C but  on the other hand Im not sure what the permanent value of it was  ,D Well 
8921,Huh  ,uhhuh  
8922,In the same pot  ,Yeah 
8923,F Uh  ,Laughter
8924,I say Arlington Texas now because I talked one night to somebody in Arlington Virginia , Uhhuh  
8925,C and  everyone would just bring things  ,Uhhuh 
8926,C But   F uh  that friend of mines telling me that I might have to go in  for  F uh  as  a witness  ,There are small colleges that Im sure are struggling  
8927, yeah  ,he has a ten dollar bill 
8928,Oh , and a sun roof   and   F uh  just so itd be a good solid car  
8929,Yeah ,its 
8930,No  ,Yeah  
8931,Yeah ,  I was  I was    
8932,Throatclearing D Well  no  ,right  
8933,Right ,Its quick reading 
8934,Yeah  ,I think its a good idea to make it mandatory noise 
8935,Yeah  ,and thats thats what I think  
8936,Uhhuh ,Yeah throatclearing  
8937,Yeah  ,Yeah  
8938,F Um  this one is more or less for someone whos poor and cant go there  ,F Oh  thats great 
8939,C But  I didnt know  ,Uhhuh 
8940,Yeah  ,  I  I  did not  
8941,Yeah ,Yeah 
8942,Been on the line for awhile  ,F Uh  a lot of reasons for that  not  not  just because   Im a  Im a  hard ass or anything 
8943,C and  a lot of work went into a lot of that  ,What is the nature of your companys business 
8944, C and  theres too many companies out there that are willing to give them to you and  get you dra  get you trapped   ,D well  the flowers are out by the back of the house  
8945,Uhhuh ,Yeah  
8946,D you know  Id spent this much  money ,C And   F uh  
8947,We just cannot afford it ,C And  then they wouldnt think  
8948,  Its  it is  a lot more difficult than it seems like it would be  ,Laughter
8949,Uhhuh ,Laughter
8950,C and   F uh  inevitably  everyone is just very interested  ,Huhuh 
8951,Im not really into those ,Thats good for the clothes budget I would imagine 
8952,Right ,a lot of women do  F Um   
8953,Cough,Uhhuh  
8954,Laughter Yeah ,a lot of the kids here get married out of high school 
8955, Laughter  , Yeah  
8956, Boston  yuppie D you know ,yeah  
8957,Uhhuh ,It seems to take more than F uh  for any little thing they do  
8958,C So   I think were a little  hea  ahead  of schedule on that ,Yeah  
8959,F Oh  I bet it  ,My goodness 
8960, D you know  I vote no on every one of them , like knitting or 
8961,Right , thing F oh  
8962,Right  ,C and then  he got hit by a Cadillac 
8963,You driven American cars all ,Right  
8964,I probably better let you get back to work ,Im still young enough  that  that  F uh  the vacations real important to me  
8965,C so  ,My parents are forced to do it  
8966,I think F uh  people in general  ,D So  
8967,theyre  in the playoffs right ,   C and   F um  C so    F uh  F uh  C and then   the blond that they took out the one that got killed  
8968, what we learned ,I dont know if its uh if its partly from whats blooming you know right now pollen and stuff like that  
8969,It does start to creep up , saying D you know   dont  dont   pick him up and stuff  
8970,Course   on  on  stuff that I was  on merchandise that I was  buying on cards  it was  I was  getting the money back  ,D Well  what are you doing way in Washington 
8971,Theyre going to do what they want to do   ,C and  I think that  the F uh   
8972,C and   I  I  think a lot of it is F uh  especially T V news  ,Do you do it at home or a club  
8973,F Uh  who is your  whose your   favorite religious author ,E I mean  
8974,one of them is WHOSE STARS AND STRIPES NOW ,F uh  from Oklahoma City  
8975,C and  they try to hook you into his organization which costs about four hundred bucks  ,C And  I have one in ninth grade at Clark  
8976,you can even just sub it out to concrete and those kind of things  ,  what do you think that   what do you think    tell me what you think  about this 
8977,Theyll take it and refinance it and  put it with Texas Credit Union at I think its a ten and a quarter percent,Just to die for exactly 
8978, Uhhuh  ,You cant do anything 
8979,Yeah  ,F Uh   what does  what does  that mean alternate 
8980,F Oh   Are you enjoying it ,C And  blank spot in the tape probably more importantly one that lasted short enough  that  that  peoples interest didnt flag too badly 
8981,C so  laughter ,D Well  this has been really interesting  
8982,I cant remember what it is they dont take ,Yeah laughter          
8983,F Um   its  its  wrong  ,C but  
8984,Thanks  , C and    C and    they do group things  
8985,F Uh  what F uh  possessed you to get the dog ,For sitting on there kiesters 
8986,C and  before the plane landed she looked out the window  ,Its  
8987,C so  I really cant complain about this one ,Okay  
8988,T V news or what ,I pay for the  extra dental plus so much more per month because it always seems like if youre going to have a  crown or something major done it pays a little more 
8989,F Oh  its not too good  , C and   F uh  breathing  F uh  a girl is very different laughter 
8990,Yeah , a little nervous that F uh  students dont seem to  show that respect  
8991,D Well   that would be  that would be  pretty nice  ,I didnt want it  
8992,Laughter Well,remember the last two freezes  
8993,C or  D you know  I cant think of ever hearing on the news or whatnot or hearing or knowing anybody who was being robbed  ,  C And  you had  
8994,C and   theyre  theyre  pretty fun to drive  ,yeah 
8995,D Well  as far as  ,where do you live 
8996,Yeah  ,Laughter
8997,C but   F uh   ,  We  we  had the same type of situation  
8998, We  we  dont want to do too much more laughter , were just about right  
8999,yeah ,Cough
9000,You ,laughter D well  we just got our income tax return  
9001,C but  it had a lot of controversy out here  ,Yeah 
9002, when  she was younger she used to do that to get even with me ,I hadnt even thought about it laughter  
9003,my dads always cosigned  on   on   my   my   loans or whatever  ,E I mean  you would   think 
9004,Laughter,D Well  F uh  I have two children 
9005,D Well  you know what else really surprised  me now  ,I think the upper peninsula of Michigan especially  
9006,sorry ,you can appeal now in North Carolina  for almost a period of twenty years 
9007,they get enough sugar and ,C so  
9008, Weve   F uh  I know I have  F um   ,Yeah  
9009, D you know   , F uh  D you know  clanging  elections  and stuff  
9010,I think so too  ,Yeah   
9011, Thanks   ,Clicking
9012, can be D you know  put in jail  and everything  The   whoever  owned the gun ,every year I try and catch that  
9013,D Well   they have one in  F uh  they have an  Argentinean place down in Georgetown  ,Right  
9014,that was a couple elections ago  ,D Well  they did have one woman dean  
9015,right ,C And   she  D you know  she  finds all the outlets and all the discount places  and F uh  buys clothes  
9016,Laughter Do you like S  ,I think its just going to be one 
9017,Yeah ,Children Yeah 
9018,okay F um  D well  F um   ,Uhhuh 
9019,Laughter,C but  I dont use it anymore 
9020,D Well ,irregardless of what Soviet policy is theyre going to do what the general tells them 
9021,C and  make F um  automotive air bags the safety air bags ,F Um  
9022,It makes D you know   you can say classy  ,I had a similar thing that Ive worked on cars ever since I was F uh  a kid laughter  
9023,F Oh  yes ,Yeah 
9024,Quite a long time F uh  probably five or six years  ,I dont work right now because my company I worked for P I E went bankrupt  
9025,I know ,Texas are you if I could ask 
9026,a lot of   the  the   the  new mama were F uh   ,C and  I thought sigh 
9027, Yeah  ,F Oh  theyre bulbs for Spring or Fall 
9028, but tapered jeans that theyve had dry cleaned so they have got the crease  ,cough right  
9029,so  ,you reduce the deficit  
9030,Yeah  ,F Uh  theres some F uh   
9031,Its kind of fun F uh   ,we feel that D you know  just spending time together  
9032,We have all kinds of testing  ,I think at this time were just in  a  a   rebuilding type of phase D you know   
9033,Yeah ,C and  not that they arent worth or not that they arent trying or anything But  its just that their jobs are useless  
9034,  living on plantations     needs slash unit,It did pretty well  
9035,F Oh  thats pretty good ,D Well  isnt it weird at Christmas time without snow 
9036,Uhhuh ,C but  
9037,D Well  we vacation a lot  ,Uhhuh 
9038,C but  he was going over there several times a week to be with the family,Uhhuh  
9039,Made the  wrong  wrong   career choice to get up into space laughter ,Uhhuh 
9040, is that  is that  pretty common up there F uh  in ,Im in the F uh  sporting goods business  
9041,Okay  ,Yeah  
9042,Laughter,C And  I dont mean give it to  everybody that asks  
9043, Uhhuh  ,she didnt want to get into that  
9044,D Well   does  your    the company D say   for instance does the company  you worked for  bef  before  have the right or do they have the ability to say hey weve already drug tested her  ,C and  now its like were just glad we never went out and bought a compact disk player cause we wouldnt use it laughter 
9045,C but  its very long ,C and then  F uh   he died in a hospital  
9046,theyre not going to be happy about it ,C And   that  thats  the way Ive  operated ever since then  
9047,F Uh  C but     th  th   th   then  why not  pay  pay  the sales tax    ,Yeah  
9048,D Well  thats good  ,C and   you   all you  got to do is the main major thing of changing that oil and that filter  
9049,C and  you set it by your desk and D you know  as you got rid of a piece of paper you stuck it in there  ,F Huh   The reason that were  thinking about something like that we took a trip in my brother in law and sister in laws to Florida  
9050,New Jersey  , kind of D like  a sweat suit but made out of that real light polyester stuff  
9051,It involved two bicycles ,F Oh  yeah 
9052,its like they were using  them as friends when we were having the conflict  ,I kind of like it when they do that because the video like I said  
9053,C but  I cant  even do that because laughter of the alarm  ,that could have been used as       
9054,  I think  I think   I think  D you know   for myself  I  I  see that as probably  the  the  what everything would hinge upon ,C and  we all ran out and bought the records  
9055,Yeah  ,C and then   its too late to try to change them around at that point 
9056,any time I go to the store  ,D Well  criminal or something like thats different 
9057,Oh   ,How old is he 
9058,Were not real big movie goers ourselves  ,F Huh  
9059, Yeah  , eating out do you enjoy 
9060,Laughter  C And  F uh  although usually the guys that are turning themselves in  are  are  guys that are D you know  going to get caught anyways  ,F Oh  I dont know  
9061, I dont  I dont  F uh  ,Yeah  
9062, Yeah  ,like that  
9063,D you know   were  were  now collaborating ,  to prevent   D you know  so that F uh  the drug addicts 
9064,C and  I decided Id take my friend over and show him the dog  , that was real 
