Question,Answer
 You feel like   laughter ,Jeez 
Right ,Yeah  
its a tough one  , and back up to a real F uh  highly traveled main street 
Im a writer  ,  I know F uh  laughter 
Usually I am not there ,Yeah  
These are people whove never seen flat ground before and people whove never seen property rights before  D You know  these  people whove never seen any machines other than those used in war  , they really F uh  give a lot of information  in the local newspaper  not in the  not in the  bigger city Dallas newspaper  
As a civilian thats never been attached to any form of the military  ,C But  F um  it seems like  people  just   D you know  they just  think D well  I can just have anything I want  
only the Caprice and them and the Cadillac had  eight   F uh  the old   Veights   ,C and  D say  D well  just forget it 
a little more attention to human psychology  ,How about that  
 a loser in life as  it is  ,I guess  a lot of  its still a lot of  hype  
starring Kevin Costner  ,C and   its  its  an excellent movie
 There are other  ,C And so  F um  D you know  I saw it also as a young student  
 F Oh  yeah  ,C So  I try to  
Okay  ,C So    C but   F uh  I dont know  
uhhuh  ,F Uh  Im of the age that could have gone although I didnt  
C and  D you know  laughter,C And  F um  just kind of letting everybody live in a not very good environment laughter 
uhhuh , Oh   
 I have through ,F oh  yeah  
What a shame  ,twin cities area 
C and  that scares the hell out of me ,thats how I am too 
Uhhuh ,I didnt really have the money to do it  
Ours are those too  ,C and  hes about ready to put in a pool and things like that  
Right , in the last three years weve probably used a lot more cans than ever before  
F Oh  my goodness ,Yeah 
Yes ,C So  
It seems like San Antonio is increasing in humidity over the years  ,They probably didnt know what they were talking about 
Laughter,Lucky and Spot  thats their names  
its real pretty up there  ,I dont want the  stress 
C And  if you catch the news stations F uh   you dont catch that much in the car ,C So  its not just because you are in Oak Cliff  
 thats good size , Thinking I was safe  in buying those  jars as far as the environment was concerned 
 I  I  mean she does not know us anymore  , C and  F uh   I really havent been making any  s   phone calls have you  
yeah ,Good 
yeah  ,C and so   i  its  a real difficult  choice whether we want Styrofoam cups to fill up our landfills or F uh  china cups to use up our water laughter 
 to watch it babycrying  ,Yeah  
 and   that you dont even   see or know about ,Its totally women 
D Well   I  F um  I  do an awful lot of preparation of documents F um  F uh   ,C So  sounds like hes going to be all  right for next season  
Yeah  ,C and then  they got a place where you can dance D you know  and all that kind of stuff 
Right  ,Been to Hawaii 
Uhhuh ,We 
Yeah  ,C Because  R E M really hasnt changed  
F Um  ,Squeak
Uhhuh ,C And   I  usually it is the defendant I  guess that wants to have the jury hear the case 
C so  Ive seen, Oh  
E I mean  here theyre not really that high  ,Thats where we go 
GOOD HOUSEKEEPING is the one that kind of sets around for  when  F uh  when  Im really have time and I really want to read something D you know  ,Yeah 
C and  its a public system however youd think that it was a private school because  I take it the best teachers and the best students  ,There ought to be F uh  F uh  some compromise  that  could    where F uh   where  the person would  be guaranteed swallowing  a F uh  career type position but not necessarily a continuation of exactly the same position 
C but  that would be good    That I dont know    Looks like That    should be an independent slash unit , There  there   was one site that they cleaned up  
D You know   ,It says three for a B gift five for a C gift et cetera  
C and  I use D like  F uh  Miracle Whip salad dressing instead of the actual mayonnaise ,laughter  Also I lived in Georgia for about four years  
 what  I  I   like to listen to  ,C And  got it over with 
 All right  ,Uhhuh 
 I have a  thirteen year old daughter  ,C And  its a game that none of their friends know how to play  
No  ,C but  the third  one is a childrens dog 
Wha ,C But  F uh  most of my cassettes  
C so  ,Uhhuh 
 What  what  does  ,C but  
  we  like the  we like the  white mountains  ,F Uh  D well  just last weekend went to Davy Crockett forest 
F Um  let me see  ,C And  I thought I put up with that all those years laughter 
yeah ,C and   somebody that went with me bought a carton for F uh  ten dollars and something  
Yeah  ,  I    I  know here in Dallas that they have just instituted in the last couple of years  a  F uh  a  real long period of time that you can absentee vote before the elections  
Right ,Yeah  
Absolutely  , C and   it was for us many years
Uhhuh ,F Uh  
F Oh  its a cute movie  ,No  
About nine days , the whole  the whole point  of being on a jury is to convict   or  or   or  F uh  let go based on  whether
I guess yeah , and bottles and plastic  
theyre encouraged to do that missionary work  , it  it  sort of  doesnt much D you know   
Laughter,C and  
 F uh  cat cam system type things  ,Oh 
Yeah  ,Yeah  
 Whats  whats  your most recent one that youve seen ,D now   I didnt think  I thought  the terrorism thing was overstated E I mean  
No doubt ,D So  we had him neutered  and  and  declawed  
D Well  I think that  it  it  varies  on  on  the individual basis , as the day F uh  warms up we may go to light jackets  
C So   you  youve   only known the dog  wh   how long did you say ,F Um  C but   we  F um  we  house  sat for  a   F um   my  F um  my   wifes boss a couple weeks ago  
Yes ,I sure do 
They can come from all over the city  ,if they go back to the inner city they may not see trees for a while
We used to take the paper every day  ,Right  
Yeah  ,C so  thats 
did you cut them down  at the  at the   ground level  ,Thats right  
That and sleeping late laughter ,D So  can I just ask you are you Canadian 
your children  ,C and then  wed sit down
Thats pretty steep ,I think when we moved here it was like a hundred and twenty something like  that  
Okay  ,but not  
C because  E I mean  Purdue even though theyre one of the few schools that really F uh  stress academics theyre suffering D you know   ,C so  I then have also done tax returns in the past for other people when I worked for an accounting firm 
funny  how laughter   how ,Okay  
Uhhuh ,they can find guilt or innocence  
 I  F uh  I  called yesterday  I    or  Friday  ,A lot of these lakes and things if you could find a noise centrally located D like   D say  about the same distance for all of you all to come 
 w  we  really dont have a formal budgeting situation  ,Uhhuh 
uhhuh ,C and  we  
F Oh   D Well  I was wondering if you got your dog originally as a pet for them or just because youd had dogs before  ,Uhhuh 
Uhhuh ,C Or  they went in the service  
F Uh  national health insurance I think is a problem inasmuch as the quality of health care that people would receive ,D Well  lots right 
C But   F uh   we  we  enjoy it F uh   , I thi  
F Oh  really , C and   C and   F uh  I guess mostly  I  I  like the news shows too the news magazines like SIXTY MINUTES or TWENTY
Madonna ,Uhhuh 
thats it ,C and  you have a good day 
its not like F uh  its someone do steal  a  a  or television or V C R or something like that  ,C so   its  its  fun when we go to that one 
Really , C But  we enjoy  trying F uh   different kinds of chicken or F uh   sh   D you know  even F uh  shrimp  F uh   dishes that are fixed in a Chinese restaurant 
C But   F uh  F uh  he  ,C or   maybe your daughter
 Proper interface   ,Yeah  
C And  dont you think that long term  thats been a big boost for the United Nations ,C but  you might be right  
 thats  a problem  ,D Well  Im kind of that way too  
C or   D you know  they  ,C But  not really 
C And  they were just all over him and sitting on his head the whole nine yards  , we  weve  seen that  
 Yeah  ,Uhhuh 
uhhuh ,C But   that  that  sounds good 
C or  do you hire  someone to do it ,Laughter
F Oh  my gosh ,I think its pretty darned good  
Clint Eastwood ,F Uh  C and  she 
he  , your thighs and your butt 
F Oh  thats my ultimate dream laughter ,C And  they were saying that C N N  is definitely a world F uh  news service  
That is a hugh difference ,cause I went through the public um school system of Boston 
D Well  it is , C but   C but   I loved San Francisco  
Right  ,C and  F uh  
Linda ,  Im  Im   Im  hoping Im hoping 
 wouldnt  I be in prison at this point ,C and  F uh  I have to balance more or less what I get from the state with my bills and F uh  D you know  try to work as many days as possible
yeah   ,Uhhuh 
E I mean  Ill give you and   idea that I had F um   ,Yeah  
 You said  , Yes   
We are substantially north of New York enough that F uh  ,Im probably a mile mile and a half inside the city limits  
E I mean   I dont  I honestly dont  really think I could have D you know  done much better than I did in the school system I was in,Even if she wants an afternoon just to work
Yeah  ,F Uh  breathing mostly I have just given them away as gifts 
Laughter,Laughter F Oh  they do
C and  there was a murder ,My word isnt that sorry  
When they were younger we would go to the beach  ,Uhhuh 
C and  then  you have the hot Summer Spring laughter ,   some   on  recycling  
I havent found a lot of F uh  fiction books that I really like  ,Yeah 
Yeah  ,they seem to be a part of life laughter 
C or  we bought  the  the  filets and then the chicken or turkey nuggets  , with the Rangers 
Yeah F um   ,His last company he was only working four days a week 
C And then  when you interview for a job or something sometimes people F um   expect the benefits to take the place of a certain salary level ,Yeah  
Maybe  that is  thats   part of it ,  I  I  
C And  the other is with my whole  family whom we F uh  go somewhere that the kids will enjoy breathing  , laughter 
 I did  I had  a friend that  said D you know  before we always said we dont want children because we cant go off on the spur of the moment or this or that and the other  ,It was hard  
Okay ,Uhhuh 
C and  they work at the same place I did  ,Okay  
doesnt ever really  p   F uh   , Right  
D Well  let me see  ,C and  you say D well  I made it though at least its mine 
 Yes  ,I think that like you said television  
Thats one   ,I guess I havent seen that as much in this area although every now and then you hear about it 
F Um  I guess if I had to rate it from one to ten I guess,D Well  D no  thats  really when  I grew up  
 Yeah  ,I think they should either do that  or  or  afford some time to the military  or  or   helping elderly people 
Okay ,D Well  its its F uh   
Right ,D Well  then I have a friend at school that has a boyfriend thats a lawyer  
Uhhuh ,thats about how I am on popular music  
 Texas  called P M Melody  who does a lot of writing on codependency  ,I got it so it   wouldnt   wouldnt  shed
Hes a basketball fan because  he  he  plays for the high school he goes to  ,C And   F uh  F uh  we both look forward to going to our next reunions Im sure 
 in those begats ,the ones in Indiana  
maybe   that understands colors would know all of that stuff  ,I think it is Marlin or Mart  
I think its the Bart man the Simpsons laughter ,some people just sit on them once in their lifetime  D you know  if theyre that lucky sometimes laughter
thats some of the things I would find important before  I  I  would look into that for a person   is  is   is  like youre saying a good mix of people who have the same interests ,C and   we would have to  wed        
C and  theyre sharp  ,C but  F uh  Im not planning on doing that for a while   
I dont know if its a government run or if its a private ,C but  Ive always worked on a university level  
Yeah  ,C So  thats too much 
C and  at the age of thirtytwo I think it was his F um  heart was that of a fourteen year old  ,doctorate degree in computer science center at Berkeley sigh 
D Well    do   do   they do other things for you all ,I guess the economy  is  is  effecting also the news media  
Sure  ,Right 
Uhhuh ,No privacy 
C and  its good music  ,because you have to deal with the F uh  imi immigration service  
every  day  somebody whos done this or that  something really horrible  ,F oh  yeah  
F Uh  its F uh  an interesting experience to be a surrogate  parent  for  E or  parent  for  a lot of people there  ,People have  
C But  F uh   F uh  I enjoy F uh  F uh  a lot of different comedies  ,Or how far hes going to hit it I think D you know  
What are you all trying to do long term ,I live in Texas 
 C and  there are two major newspapers there that run pretty much neck and neck  , C and  its people are desperate  
Especially when theyre not quite to the age of understanding that theyre hurting D you know   ,C and  you might have a car and  that kind of thing  
C but  on the other hand Im not sure what the permanent value of it was  ,D Well 
Huh  ,uhhuh  
In the same pot  ,Yeah 
F Uh  ,Laughter
I say Arlington Texas now because I talked one night to somebody in Arlington Virginia , Uhhuh  
C and  everyone would just bring things  ,Uhhuh 
C But   F uh  that friend of mines telling me that I might have to go in  for  F uh  as  a witness  ,There are small colleges that Im sure are struggling  
 yeah  ,he has a ten dollar bill 
Oh , and a sun roof   and   F uh  just so itd be a good solid car  
Yeah ,its 
No  ,Yeah  
Yeah ,  I was  I was    
Throatclearing D Well  no  ,right  
Right ,Its quick reading 
Yeah  ,I think its a good idea to make it mandatory noise 
Yeah  ,and thats thats what I think  
Uhhuh ,Yeah throatclearing  
Yeah  ,Yeah  
F Um  this one is more or less for someone whos poor and cant go there  ,F Oh  thats great 
C But  I didnt know  ,Uhhuh 
Yeah  ,  I  I  did not  
Yeah ,Yeah 
Been on the line for awhile  ,F Uh  a lot of reasons for that  not  not  just because   Im a  Im a  hard ass or anything 
C and  a lot of work went into a lot of that  ,What is the nature of your companys business 
 C and  theres too many companies out there that are willing to give them to you and  get you dra  get you trapped   ,D well  the flowers are out by the back of the house  
Uhhuh ,Yeah  
D you know  Id spent this much  money ,C And   F uh  
We just cannot afford it ,C And  then they wouldnt think  
  Its  it is  a lot more difficult than it seems like it would be  ,Laughter
Uhhuh ,Laughter
C and   F uh  inevitably  everyone is just very interested  ,Huhuh 
Im not really into those ,Thats good for the clothes budget I would imagine 
Right ,a lot of women do  F Um   
Cough,Uhhuh  
Laughter Yeah ,a lot of the kids here get married out of high school 
 Laughter  , Yeah  
 Boston  yuppie D you know ,yeah  
Uhhuh ,It seems to take more than F uh  for any little thing they do  
C So   I think were a little  hea  ahead  of schedule on that ,Yeah  
F Oh  I bet it  ,My goodness 
 D you know  I vote no on every one of them , like knitting or 
Right , thing F oh  
Right  ,C and then  he got hit by a Cadillac 
You driven American cars all ,Right  
I probably better let you get back to work ,Im still young enough  that  that  F uh  the vacations real important to me  
C so  ,My parents are forced to do it  
I think F uh  people in general  ,D So  
theyre  in the playoffs right ,   C and   F um  C so    F uh  F uh  C and then   the blond that they took out the one that got killed  
 what we learned ,I dont know if its uh if its partly from whats blooming you know right now pollen and stuff like that  
It does start to creep up , saying D you know   dont  dont   pick him up and stuff  
Course   on  on  stuff that I was  on merchandise that I was  buying on cards  it was  I was  getting the money back  ,D Well  what are you doing way in Washington 
Theyre going to do what they want to do   ,C and  I think that  the F uh   
C and   I  I  think a lot of it is F uh  especially T V news  ,Do you do it at home or a club  
F Uh  who is your  whose your   favorite religious author ,E I mean  
one of them is WHOSE STARS AND STRIPES NOW ,F uh  from Oklahoma City  
C and  they try to hook you into his organization which costs about four hundred bucks  ,C And  I have one in ninth grade at Clark  
you can even just sub it out to concrete and those kind of things  ,  what do you think that   what do you think    tell me what you think  about this 
Theyll take it and refinance it and  put it with Texas Credit Union at I think its a ten and a quarter percent,Just to die for exactly 
 Uhhuh  ,You cant do anything 
Yeah  ,F Uh   what does  what does  that mean alternate 
F Oh   Are you enjoying it ,C And  blank spot in the tape probably more importantly one that lasted short enough  that  that  peoples interest didnt flag too badly 
C so  laughter ,D Well  this has been really interesting  
I cant remember what it is they dont take ,Yeah laughter          
F Um   its  its  wrong  ,C but  
Thanks  , C and    C and    they do group things  
F Uh  what F uh  possessed you to get the dog ,For sitting on there kiesters 
C and  before the plane landed she looked out the window  ,Its  
C so  I really cant complain about this one ,Okay  
T V news or what ,I pay for the  extra dental plus so much more per month because it always seems like if youre going to have a  crown or something major done it pays a little more 
F Oh  its not too good  , C and   F uh  breathing  F uh  a girl is very different laughter 
Yeah , a little nervous that F uh  students dont seem to  show that respect  
D Well   that would be  that would be  pretty nice  ,I didnt want it  
Laughter Well,remember the last two freezes  
C or  D you know  I cant think of ever hearing on the news or whatnot or hearing or knowing anybody who was being robbed  ,  C And  you had  
C and   theyre  theyre  pretty fun to drive  ,yeah 
D Well  as far as  ,where do you live 
Yeah  ,Laughter
C but   F uh   ,  We  we  had the same type of situation  
 We  we  dont want to do too much more laughter , were just about right  
yeah ,Cough
You ,laughter D well  we just got our income tax return  
C but  it had a lot of controversy out here  ,Yeah 
 when  she was younger she used to do that to get even with me ,I hadnt even thought about it laughter  
my dads always cosigned  on   on   my   my   loans or whatever  ,E I mean  you would   think 
Laughter,D Well  F uh  I have two children 
D Well  you know what else really surprised  me now  ,I think the upper peninsula of Michigan especially  
sorry ,you can appeal now in North Carolina  for almost a period of twenty years 
they get enough sugar and ,C so  
 Weve   F uh  I know I have  F um   ,Yeah  
 D you know   , F uh  D you know  clanging  elections  and stuff  
I think so too  ,Yeah   
 Thanks   ,Clicking
 can be D you know  put in jail  and everything  The   whoever  owned the gun ,every year I try and catch that  
D Well   they have one in  F uh  they have an  Argentinean place down in Georgetown  ,Right  
that was a couple elections ago  ,D Well  they did have one woman dean  
right ,C And   she  D you know  she  finds all the outlets and all the discount places  and F uh  buys clothes  
Laughter Do you like S  ,I think its just going to be one 
Yeah ,Children Yeah 
okay F um  D well  F um   ,Uhhuh 
Laughter,C but  I dont use it anymore 
D Well ,irregardless of what Soviet policy is theyre going to do what the general tells them 
C and  make F um  automotive air bags the safety air bags ,F Um  
It makes D you know   you can say classy  ,I had a similar thing that Ive worked on cars ever since I was F uh  a kid laughter  
F Oh  yes ,Yeah 
Quite a long time F uh  probably five or six years  ,I dont work right now because my company I worked for P I E went bankrupt  
I know ,Texas are you if I could ask 
a lot of   the  the   the  new mama were F uh   ,C and  I thought sigh 
 Yeah  ,F Oh  theyre bulbs for Spring or Fall 
 but tapered jeans that theyve had dry cleaned so they have got the crease  ,cough right  
so  ,you reduce the deficit  
Yeah  ,F Uh  theres some F uh   
Its kind of fun F uh   ,we feel that D you know  just spending time together  
We have all kinds of testing  ,I think at this time were just in  a  a   rebuilding type of phase D you know   
Yeah ,C and  not that they arent worth or not that they arent trying or anything But  its just that their jobs are useless  
  living on plantations     needs slash unit,It did pretty well  
F Oh  thats pretty good ,D Well  isnt it weird at Christmas time without snow 
Uhhuh ,C but  
D Well  we vacation a lot  ,Uhhuh 
C but  he was going over there several times a week to be with the family,Uhhuh  
Made the  wrong  wrong   career choice to get up into space laughter ,Uhhuh 
 is that  is that  pretty common up there F uh  in ,Im in the F uh  sporting goods business  
Okay  ,Yeah  
Laughter,C And  I dont mean give it to  everybody that asks  
 Uhhuh  ,she didnt want to get into that  
D Well   does  your    the company D say   for instance does the company  you worked for  bef  before  have the right or do they have the ability to say hey weve already drug tested her  ,C and  now its like were just glad we never went out and bought a compact disk player cause we wouldnt use it laughter 
C but  its very long ,C and then  F uh   he died in a hospital  
theyre not going to be happy about it ,C And   that  thats  the way Ive  operated ever since then  
F Uh  C but     th  th   th   then  why not  pay  pay  the sales tax    ,Yeah  
D Well  thats good  ,C and   you   all you  got to do is the main major thing of changing that oil and that filter  
C and  you set it by your desk and D you know  as you got rid of a piece of paper you stuck it in there  ,F Huh   The reason that were  thinking about something like that we took a trip in my brother in law and sister in laws to Florida  
New Jersey  , kind of D like  a sweat suit but made out of that real light polyester stuff  
It involved two bicycles ,F Oh  yeah 
its like they were using  them as friends when we were having the conflict  ,I kind of like it when they do that because the video like I said  
C but  I cant  even do that because laughter of the alarm  ,that could have been used as       
  I think  I think   I think  D you know   for myself  I  I  see that as probably  the  the  what everything would hinge upon ,C and  we all ran out and bought the records  
Yeah  ,C and then   its too late to try to change them around at that point 
any time I go to the store  ,D Well  criminal or something like thats different 
Oh   ,How old is he 
Were not real big movie goers ourselves  ,F Huh  
 Yeah  , eating out do you enjoy 
Laughter  C And  F uh  although usually the guys that are turning themselves in  are  are  guys that are D you know  going to get caught anyways  ,F Oh  I dont know  
 I dont  I dont  F uh  ,Yeah  
 Yeah  ,like that  
D you know   were  were  now collaborating ,  to prevent   D you know  so that F uh  the drug addicts 
C and  I decided Id take my friend over and show him the dog  , that was real 
 C and   ,We have Italians  
You cant throw any of that away  , Yeah  
I dont know if maybe Im biting off more than I can chew , D well  not so much that  
Uhhuh ,I guess I keep that one part of me thats like  
I used to go down to Reunion Arena F uh   ,C But   as  as    
Uhhuh ,F Uh  we have no basement laughter  
during every commercial get up off the couch,that all of a sudden really hit home that theres no longer landfill space
C and  have  ,its a guy 
C and  her name is Thumper  ,have a nice summer 
Yeah  ,All the other areas which  would    I think at that time would  have included West Virginia and F oh   may have been Kentucky a few states D you know   that were not part of the South but still had slaves 
 Im   F uh  I grew up  in Nebraska  ,C Plus  by the time you get a babysitter  and then pay to go to the movies 
uhhuh  ,if people stopped thinking like that 
Thats changing laughter ,Uhhuh 
We have F um   ,C So  E I mean  this is definitely a college town  
C And  F uh  I have a preschooler  ,Thats true 
C And   , and have all sorts of weather  
Okay  ,Throatclearing
Yeah ,C And   her  her  mother went over there just for that  
Oh yeah ,C And   F uh  usually I cut those little  cherry tomatoes up
 C or   C or   D you know   sho  should  we F uh   ,C But  it should be if its not 
Right ,Uhhuh  
a tooth for a tooth a life for a life  ,F Uh  
Ye ,I know  
Yeah   ,C and  everyone was out  
I dont know if youre like me  ,no 
Laughter Yeah  ,C And  the people that he got the       from used to have cats  
Uhhuh ,Uhhuh 
 C so   ,C and  uhhuh  
Yeah  ,That way husbands are crippled 
 C but  it was a preponderance of them that caused our problem   ,Everybody pays ten percent or fifteen or  whatever 
 C and   her  the rest of her   family and her regular doctors and everybody she trusted and knew was in Dayton and were several thousand miles away  ,Yeah  
That what Ive been reading lately a lot of  ,I dont know what type of pressure they can put on all the nations there too because now that the war is over societies have just about gone back to their own
but its been cold  ,C and  so  I wind up  going out camping with F uh  a bunch of boys at one time  
Johnson City  ,then picked it up again later on  
It is a difficult thing  ,I  dont  dont  like that super cold stuff 
C And   F uh   I dont know  that   what they have  ,yeah  
 We  we  waited almost breathing fortyfive minutes before everything was brought out  ,Oh 
Weve transferred around  ,they do 
How are you  ,C and  it was difficult to hold them together   
 Laughter  , that  television  it gives you everything 
I see ,C but 
C But  F uh  ,E I mean  just because you did something in the past doesnt mean hes not a good enough person to be a politician 
C and  theyre even open on Saturdays ,Yeah 
Right ,C But    I  I  dont know  
C and  Im  know real sure there are F um  ,yeah 
Yeah ,C and  F uh  noise  it was quite a drag noise because F um  noise we got them in our  house  
C But   F uh   the   F uh  F uh  D now  the  only thing people seem to  agree on is that education is F uh  an economic enterprise to train people for jobs  ,I dont know  
D Well  its been nice talking with you ,C and  thats been real good 
Yeah  ,F Uh  generally F uh  I think its been as  high as about a hundred and twenty people 
just besides the fact that you know your when your child gets out of school at three oclock and then has to wait ,Sure 
Yeah ,Sometimes its to  sup   help support  college D you know 
Uhhuh ,C so  F uh  
there are two people who say well he just looks guilty F um  , Uhhuh  
Thats why it really surprises me D you  know  that he hasnt come back because breathing like I said hes never gone away like this before  ,C and   it  
 that  we havent seen for a while laughter  ,could come to their house 
Yeah  ,   Have you ever  have   have  you been downtown recent 
Yeah  ,Yeah 
Uhhuh , thats pretty har  thats pretty high   
 Wh  , Laughter  
uhuh ,Because your normal companies that offer it do not offer it in the amounts that we do  
C and  F uh  I wish I had more time to do it  ,Right  
theyll rob one house  ,C So  I was  reading an article in the F uh  National Geographic  
F Um  ,C so  F uh  I bar  
 D W   D well    thats kind  of good to know  ,but yet close enough if I ever wanted to go home I could 
 blue  cast to it ,that were D you know   dead  smack dead  in the center of  
Ive just been singing every chance I get  ,theyre not cutting in any other corner  
We have D you know  used some of it for some  personal things  ,A lot of people  dont feel that way either  
There you go ,D Well   we probably  have we  talked long enough  
Throatclearing  Really  ,me alone  
C and  one thing I thought was interesting was that the driver had something on his belt that he F uh   scanned across the little bar code ,the reason why we got that is we had had a Nova  
F um  I think  the big   the biggest   problem Ive got  is   is  forcing it on someone after theyve already agreed to the terms of employment ,they cant keep force feeding things to each other   and 
Uhhuh , out of my  payroll 
yeah ,SILENCE OF THE LAMBS kept me on the edge of my seat 
 and all that good kind of stuff ,C but  as long as I was single and foot loose so to speak its easier  
Fortunately I dont have to work in those companies laughter , C but  its pretty varied 
Uhhuh ,C and  U S policy at that particular time there was of course military assistance  to  F uh  to  the government itself D you know   
C but  she made arrangements so that when  she was gone,Yeah  
 not able to  ,    I   I     I    I think     I think  theres a lot to be said for kids working 
 Immediately  ,C And then  one her last sister died  
I wonder if a judge didnt have control of that if some of that would change D you know  ,I have two sons still living down there 
C But  F uh ,Laughter C But  basically we  tried  D you know  included  all the basic F uh  foods that you are supposed to have in a meal       
Right  ,Uhhuh 
I wish we had had computers in the very beginning  ,I can do it much  cheaper and better  
 even  suburban no matter where you are  ,Yeah  
 Tha  ,C and  she said that she didnt want to know what was going on because if she had a son over in Saudi Arabia she wouldnt want to know D you know  that theyre bombing  or  or  this and thats going on  
C But   F uh  its the sort of thing where you let a portion of it go bad  ,D Well  
Really ,what I dont know is where do we draw the line 
Well thats thats what I was about to say  ,C but  I didnt get elected on the panel  
It wont be a Ford  ,at the time it was still F oh  about forty or fifty cents a pound  
 she  she  felt fine for the first year when she had her first set of inmates  ,I think my wife has some 
D You know  she likes to cook  ,Laurie 
Its very generous  ,Uhhuh 
yeah  ,Uhhuh 
 F um  just because its sheer magic ,Breathing D Well  Im trying to get my tolerance now  
Im a graduate student  , as D you know   in  in  the Minnesota area  
F Uh  theyre just  very very tough  ,Yeah  
F Oh  thats  a  an  ambulance or something going on here I think ,thats cute 
We have a vacation fund  ,D Well  that sounds nice 
Thats pathetic ,Right laughter 
F Oh  uhhuh  ,theres a separate country  
C and  that is so fun  ,She was making D like   A I dont know what she was making   fortyfive dollars a month I think  
E I mean  thats occurred certainly at times in  the past  ,Maybe  
Uhhuh ,F Oh  D well  then you are familiar with it 
When he sees it to his advantage ,Thats right  
 Yeah  ,Uhhuh 
our meals  are D well   ,Thats true 
C and  all of a sudden we had a bad F uh  frequency there or something  ,All right 
It  ,I do to  
That is an army  ,C and  I always have to either take it out or have my picture slightly off centered  
In that it seems to me that they are swayed more by  emotion than F uh  by evidence thats presented  ,C And  I got a feeling that some of that was involved in the F uh  early decisions of the Vietnam war That the F uh  throatclearing people saw the cold war as F uh  you had to draw a line  and   and  defend it  
F Oh  yeah ,C but  as long as my oldest aunt lived we we got together once a year 
I think theyre maybe going to give us a state income tax  ,C And   
Uhhuh ,well try that one 
Uhhuh  , hes   been doing this evidently for  a  a  good number of years 
Yeah  ,Uhhuh 
Yeah  ,Ive seen it in magazines and stuff where you dress your animals up and take them to a par 
theres a mild attempt for that  , F Uh   
 What year  E I mean  how old  are they ,C so  F um  the last couple of years I really have tried not to use them at all 
  rather than  some of the other stuff they  do  ,Uhhuh 
Yeah ,I guess as far as people like F uh  our family we can feel like sometimes we pay more than our share as middle class  people with  Americans with  
Uhhuh ,D well  I really like Vivaldi  
 C and  , he  he  misses it  
C but  hes the director D you know   ,Uhhuh 
 C but   they ,C but  the town of Framingham pays the benefits  
it was kind of  , and brush on a little lemon butter sauce  
C And  now F uh  its pretty much an economic necessity   of   for most   in most  places for both parents to work ,Im not sure 
There is also people that are getting off drugs and trying to do better with their lives   ,that 
C and ,and 
Laughter Yeah  ,thats okay 
Yeah  ,That would be really nice laughter 
F Oh  boy I saw it I was up there on business F uh  last June and watched a game in the sky dome ,Uhhuh 
C and   breathing I would think D you know   he might  E I mean  he might  could get hurt by a car or something  ,Definitely that area  that  thats  big time 
D Well  F uh  in the case of,right 
 Im  Im  amazed the       question about that the  ,Did you 
C And  we rented CHARLOTTES WEB  ,D You know  Ive got all these clothes that I never wear
something  ,Thats a whole different sport 
its like a newborn baby  ,C and  I wasnt  very       at that duty for two years in a row laughter  
C so  ,C or  you get pictures like we did  
OGear phonetically spelled  F um  Im sure youve heard of it  ,F Um  
C so  when I went to physical therapy ,C and 
Uhhuh Very faint ,uhhuh 
Uhhuh , C Or  thats what  
 you   ,C and  you spend less money on medical 
 Are  are  you married or  ,Right 
C But   F uh   we wouldnt ha   we wouldnt have  them  ,D You know   they  they  support drug habits   with  F uh  with   F uh  D you know  with  things like F uh  D you know  burglary  or  or   prostitution or stuff like that  
F Oh  D well  basically F um  because I lived in the Middle East for a while I tend to fix Middle Eastern foods when I  have ,F Huh  
D Well   I dont  E I mean  I dont  know what you think about the subject  , C And   you whip the line 
C and  I think  once    once  people really start to communicate how they feel things are going to change  ,Yeah  
C And  course growing up  on  on  the back of a horse D you know  and being on ranches and stuff so much of that was so true  ,I wound up watching the whole thing  
C and  Ive kind of always  ,I think the AMERICAN GLADIATORS is on Sunday afternoons actually around here as well
Im not real sure   F Uh   ,C and  I hope that  
Yeah  ,Right  
Lipsmack  I think that helps ,Uhhuh 
by then you  should  all should   have a plan worked where you can make it on your own without our help ,And the house and that kind of thing  
have you seen a game up there , they have to  F uh  they ha   
D Now  what ,D well  I dont  
we arent tackling a massive ballot every four years ,Right  
we just bought the house last year  ,Yeah 
C and  I think that anybody that works  in the  in some kind of  service or  for the community or something,F Oh  a little bit 
  peace of mind also  ,Oh 
Yeah  ,C but  they need the pitching 
Thats right  ,Sure 
C and  they never did sell it  , fact theyre going to execute somebody at the end of this month 
not being able to put it off for fifteen years ,C but  they dont know where to go   to  to  
right ,I imagine there is a  certain   certain   right of the press to have the ability to ask that  
Yeah  ,D well  it depends on where you are  
F Um  ,D Well  I was just trying to think  
 C And   I would go in  ,Its really nice  to be  A for me anyway  to be  able to work in F uh  a research atmosphere F uh  where I dont have to F uh  F uh  D you know  worry about F uh  academics or anything like that  
 C but  F uh  it had to be done  , I could   I know  which ones come next  
and F uh  sort of F uh  popular rock type music   F Uh  ,I forgot about that 
Uhhuh ,D really  D you know  
C And  those are just absolutely hilarious  , C And  
the French occupied it  ,they really are very good 
Right  ,F Uh  its because  I  I  cant find the item that I want at a competitive price anywhere in my local area  
 that you  F uh  that you  find yourself almost compromised into giving if you want any  s  sort  of credit,  on  one  liter bottles  
D you know  she should be getting on with her life D you know   getting  getting  that part behind her  ,Uhhuh 
