Question,Answer
that's something that I think that has been lost in families  /,Let's face it. /
"Plastic is just too easy,   /","now I don't have that, although I do have a pension that I'm drawing from them which, thank God, I had. /"
-- mentally it's just the best thing for you. /,"Seems just like our society [ is so, +  {F um, } pushes so ] hard for, you can have it, {D you know, }  and then no interest, no payments for a year, and stuff {D like } this,  /"
"{F Uh, } yeah,  /","{C but } {D you know, } [ they, +  one guy ] got  all sorts of kids under eighteen to do it by telling them, {D you know, } you won't have  a record because you're under eighteen.  /"
Oh.  /,Right. /
the Soviet Union was considered to be the big military power and the big threat.  /,"yeah,  /"
"I've done it in [ [ the + all, ] + {F uh, } all ] my rooms. /","[ they, + {D you know, } they, ] - /"
# I # feel like it's a treat. /,"{C but, } {F um, } I understand a little bit about the Texas Rangers.  /"
<Laughter>.,Uh-huh. /
Maybe we ought to just start carving in stone again. /,"{D So, } {F uh, } {D well } how long have you been married? /"
"I think tha-, -- -/",right.  /
He said {D well } GHOST and TURTLES.  /,Uh-huh. /
"{C But } I think, - /",-- {C and then } I see how close I can come to that. /
Uh-huh. [child_talking] <rattling>  /,"{C And, } it hasn't # worked now. # /"
"I think your patient level [ must, +  needs to ] increase as the child gets older <laughter>.  /",{C And } we never have a problem meeting  it from paycheck to paycheck.  /
"[ I kn-, + I know ] very few people that, {F uh, } started in one field and stayed with it.  /",North Carolina. /
"{F Um, } n-, - /",Yeah. /
That's great.    *[[slash error]],# Oh. # /
Yeah. /,"{D Well, } baseball's baseball. /"
"[ I, + I ] have [ a, + a ] brother myself [ that's, + that's ] older  /",{C and } we do have our fun  /
"{C And } I took guitar lessons, I think, for one or two years,  /",# That's true.  # /
# Yeah. # /,That's where you swim.  /
"# {D you know, } # for us it, - /",<+ what to do about these I guess's +> *[[comment on trans. -? delete line?]]
"-- {C and then, } it was always exciting when we got called [ [ to, + to, ] + to ] go, because then we thought we might be able to do something else besides, {F uh, } just sit in the jury room. /","{C But, } {F uh, } [ I, +  that's about  the only time I've ] been to Florida, except passing through on the way to someplace else. /"
"{D See, } I can't even think of who the New Orleans quarterback,","# {F Oh, } yes.  # /"
"{D Well, } [ it's, +  it's ] unfortunate,   I think, that everyone doesn't have that opinion.   /",# Uh-huh. # /
"Yeah,  /","I'd rather just be the student, <laughter>.  /"
"{F Oh, } you got  ((   ))  more experience than I do then on it. /",sure. /
"{D Well } who would you say is your favorite player, or has ever been your favorite player? /","{C but } now [ I've, + I've ] learned how to sew,  /"
"Yes,  /","{F Oh } yes,  /"
Yeah. /,I'm going to look into some other fields.  /
Right. /,"Like if you order something  through a mail order catalog,"
That's great. /,"-- [ if you, + if you ] save so much, then they will match it.  /"
Uh-huh. /,"{C so } I began a program [ couple, + I don't know probably three or four ] weeks ago  /"
-- {C and } he's cutting it down <laughter>.  /,"# [ [ An, + # an, ] +  bu-, ] - /"
"-- {C and } there is a few factories,  /",# that's fantastic.  # /
"so do I,  /",{C And } I think it is just a real cute show.  /
"# before, {D you # know, } it's {D like } - /","It's most interesting because we're one of the few, if, - /"
{C So } we decided that may be the mark of a good film.  /,"{C And, } {F uh, } [ when I started work there in, + it started, {D you know, } actually going to work in ] eighty-two,  /"
"I have [ a, {F um, }  P C, + a I B M P C ] myself. /",-- how did you make a quilt? /
The local doesn't either  /,"Yeah,  /"
"{D Well, } {C and } [ the costs have, + so much has ] gone up so much.  /",Yeah. /
Yeah.  /,Uh-huh. /
-- get things from T V  or (( )). /,Think so? /
"{C and } [ I, + I'm ] with you on that.  /","it would be nice to see something where at least, -/"
"mostly what [ [ we're doing, +   we've worked, ] +  we've done ] the, {F uh, }  (( CODA )) account with T I where [ they, + we ] put in so much a month,  /","{D Sure, } go ahead. /"
"Then I kind of hear it goes into {D like, } {F uh, } - /","{C But } after awhile it always  seems that [ the, + {F um, } {F oh, } the ] site starts to leak  /"
"I watch those if I, -/","[ [ we, +   we   are, ] +   it's like we are ] partly responsible for their problems by loaning them all that money,  /"
"-- {D so, } {F um, } what about your wife,  /",Yeah. /
"whatever they tell you, - /",((   )) . /
"{C and } you're like, {D well, } what is it <laughter>.  /","{D well } they make mistakes too, I guess. /"
"{C Because, } {F uh, } <lipsmack> [ I th-, + {D you know, } I think ] for a lot of people it really is the decision of, <<pause>> do they still have some of their life left.  /","# [ they're + # they're ]  kind of, - /"
"{F Oh, } yeah. /","{C so } [ we, + we ] went back and tried it  again, put it on again  /"
"{F Oh, } it's great,  /",you could still kind of go sledding and such out there  /
"{C and } they will say Mom this is important to me,  /","{C so } I guess we'll let  you go,  /"
"No,  /",I'm {D like } twenty  some phone calls. /
Oh. /,"Yeah,  /"
Yeah. /,"{F Oh, } okay,  /"
"# Yeah,  /","-- {C and, } it sounds like they're going to, {D you know, }  they're, -/"
Are they? /,Right. /
Yeah. /,#  Baroque and romantic. /
"{C and, } {D you know, } I want a car that I can work on because I think it just costs too much even to get the oil changed anymore. /",Kay. /
# No.  # /,"{C Or, } -/"
"since I got out of college, which was about five years ago, my T V viewing started to tend more towards, {F uh, } documentary, news programs, things like that. /",Yeah.  /
{C and } it causes the glass to crack  /,I'm doing an internship up at Honeywell. /
"they don't want the money for food,  /",Yeah. /
"[ [ e-, + e-, ] + maybe ]  they should sit back  [ and, + and ] kind of, {F uh, } decide on where the money's best spent.  /",<Lipsmack>.
"I remember being, - /",Jimi Hendrix was the original. /
"Yeah,  /","{E I mean } it's good because [ they, + they ]  try new things, {D you know, }  /"
Sounds like something I should do. /,"<noise> you have to really have your car winterized and stuff, {F huh? } /"
"<Throat_clearing> It's really nice because [ [ [ they, +  th-, ] + {D you know, } their, ] + their ] attitude is different [ than, + than  ] a  regular, {F uh, } [ insurance, + {F uh, } health insurance, ] {F uh, } [ the, + ] [ in, + in ] a, H M O, {D you know, }  /",Yeah.  /
"-- school or stuff, that [ this, + the ]  juries being involved in the sentencing [ wasn't, + wasn't ] so much.  /",{D You know. } /
"[ I, +  I ] should not say I  do not know.  /","Normally we don't have too much, {F uh, } humidity [ or, + or, ] {F uh, } rainy time when it's past June. /"
"Right,  /","{D Well, } are you going to buy a car soon? /"
{D you know. }  /,Uh-huh. /
Right. /,"I live, {F uh, } over in the Lake Highlands area  if you're familiar with that. /"
"I know sometimes when you think there are things running while they're at the same unit, like the headlamp -- /","{D Well, } I suppose you are right there too, {D you know. } /"
"[ espec-, + ] this particular one,  I think, was in Maine and New Hampshire,  [ where + ] [ out in the, +  just kind of out   in these ] little towns  they'd be in,  /",on it  /
"No,  /","It talks about, {F um, } race relations and police relations  /"
"{C So, } do you --",Uh-huh. /
"{C And } of course the salt does melt the ice,  /","just, {D you know, } paper pushers [ like, + # like ] I am. # /"
"-- that would take place in a family,  /","{F Uh, } [ our, + our  ] <noise> van, which is [ a, + a  ] delight to drive, does not have, - /"
yeah. /,{D well } I guess we're supposed to talk about the changing roles of women. /
Yeah. /,<Laughter>.
"{C and, }  {F uh, } actually I work for the F B I. /","it, - /"
Uh-huh. /,"{C and, } {F uh, } I like ROSIE O'NEILL. /"
"{C and } with interest, {D you know } I found some people that were members of our church which was different. - /",kind of what started it. /
Uh-huh. /,colds  /
{C and then } he has got a friend named Cat.  /,"Since Kareem's retired,"
I guess that's kind of everybody's dream <laughter>. /,"{C so } I guess, that's an alternative.  /"
{C so. },Exactly <laughter>. /
"{C So, } -/","# [ [ {C And, } + {F uh, } {C and, } ] +  {C and } ]  she's just Shaklee crazy, {D you know, } because it's her business and # everything. # /"
It's amazing how much plastic you generate. /,"[ They, + their ] home is paid for  /"
Right.  /,Right. /
there has.  /,"{D Well, } there, - /"
Uh-huh.  /,"{F Uh, } I haven't gotten through <laughter> it yet. /"
"-- {C and } I was in, {D like, } chamber  music groups and stuff,  /",{F Uh. } /
Uh-huh. /,bye. /
Uh-huh. /,"I was putting money aside [ and + ] [ when, +  before ] I was married, {D you know, }  when I was working out of college  /"
Uh-huh.  /,"{C because, } {D you know, }  with utilities [ and, + and ] homes that are, {F uh, } - /"
"# we # don't have a T V,  /","If uprisings [ hap-, + happen ] in their sectors, [ it is, + it's ] going to be a total blood bath. /"
Sometimes I'm a little exhausted # <laughter>. # /,"Yes,  /"
Right. /,"{C and then } I had, {F uh, } the puppy, a little tiny puppy  /"
Right. /,"it's definitely true because, -/"
"If you, if I were dying, I'm not sure I would care. /",yeah. <<Clears throat>> /
"[ {C And, } + {F uh, } {C so } ] we'll pay a little interest this year, but  maybe two dollars.  /",I married your cousin's brother's uncle or something  like that. /
"{C but, } [ to look, +  to have looked ]  back into the twenties, thirties and  forties, it would have been fantastic,","[ We never pay, + we don't like to pay ]  interest on the <laughter> credit cards at all. /"
{C and } he showed me how to  use his guns  /,Okay.  /
Do those can crushers work good? /,and a Chevrolet dealer was our friend  /
"when it comes to sentencing phase, I guess they tell them  [ if a guy, +  if the person ] has a previous record and stuff. /","Yeah,  /"
"{C So } I thought that was pretty  good to expand upon it,  /",{C So. }   I think it would be nice to just go out and pick some tomatoes off the porch.  /
I think that gets us off to discussing the topic for tonight. /,"Okay <laughter>,  /"
"it would be tough to do,  /",Do you?  /
Yeah.  /,"we had a dentist come to our school and, {F uh, } check our teeth once a year at least.  /"
"I, - /","they're usually more afraid of you than you are of them, usually. /"
"{C And, }  {F uh, } I'm building [ a, + a ] log house at a  farm that I have in East Texas, which is --","Where did you say you're at, Colorado? /"
"{C because } my perspective is from an institution, <inhaling>  /","{F Um, } I had a friend who went to  Colombia  /"
Uh-huh. /,"[ {C and, } + {C and } ] you get out [ [ the, + the, ] + so many ] inches  /"
"Good to talk to you, Sally. /","I don't like that,"
"There's a field trip just about every day if they want to go on one, and  stuff like that.  /",Everything had a little bit of curry in it. /
"the, {F uh, } development we  moved into was, - /",Is that right? /
I don't want to go there <laughter>. /,I played the trumpet. /
"[ It's kind of, + it's kind of ] been a drought out  there hasn't it, {F uh, } /",Uh-huh. /
Uh-huh. /,I don't -- -/
"I would like, - /",# All right. # /
Right. /,{D Well } so many of them also come through  /
That's the first time I'd seen it.  /,"Yeah,  /"
"{E I mean, }   it literally, - /","They figure that,"
# Huh.  # /,<Laughter> No.  /
"{C and, }  {F um, } they - /","in my family my brother's children, -/"
"-- {C and } it really, {F uh, } - /",Are you in the section of Texas that's been getting so much rain? /
"-- the way they break it out,  /","-- unless things are so absolutely out of whack that, {F uh, } -/"
"# {C so } # this isn't for her,  /",{C but } that's not by my choice. /
"{C But } [ I, + <lipsmack> I ] do think it's an area that needs to be looked at and improved because more of us are going to have to work. /","# wonderful # too, /"
"-- and, {F uh, } -/",A big one? /
{C Because } Texan philosophy is a little different. /,# Yeah. # /
I also notice I just feel better when I exercise. /,"{C but } basical-, {D well, } Route Seventy [ and, + and ] {F uh, } Route Forty. /"
# Yeah. # /,"{C And, } {D you know, } they did,  {D like } the raspberry puree, just kind of like [ in a, +  in a ] decoration on the, - /"
"I don't believe in this career, you know, this career drive when, when they're small, because I think, -/","{F Uh, } {C but } I just, {D you know, } more or less stocked, {D like } an exercise bike and that kind of thing.  <breathing>, {F uh, }  /"
"{D well, } -/",For sixteen bucks [ they'll -- +
"sometimes [ I, + I ] get them on my, {F uh, } answering machine at home  /",small world.  /
# Uh-huh. # /,we have a little dog now  /
"-- {D you know, } few ] of the major ones,  and then use them once in a while for something,  /","There was something on T V the other day  that said that fewer than one or  two percent of the [ [ heads of, {F uh, } + chairmen   of the board, ] +  [ chair-, +  chair persons, ] {F uh, } {A [ if you sa-, +  if you will, ] }"
It was very timely.  /,Okay. /
"it feels like,",<Laughter> I know. /
"{D So, } {F um, } I think [ you need to make, + {D you know, } if you [ do, + do ] day care centers, {D you know } you should make ] frequent checks [ and, + ] {F um, } to check in on them when <laughter> they're not expecting it. /",Yeah. /
"-- they should be happy naturally,  /",{F Oh. }  <laughter> That's nice. /
"I just pretend they're not there,  /",you just don't want a baby-sitter  /
"{C and } it was about four inches deep and then about, oh a seventy degree angle. /","[ I was, +  I was ] better off paying  a state tax [ mo-, + ] back in Maryland, where, <breathing> <laughter>, -/"
"{C And, } {F uh, } their eyesight, they can't see very far either.  /","{F Oh } [ that, + that ] you mean about the,"
That's pretty good. /,Uh-huh. /
"[ the, + the ] numbers are still very skewed to say the least. /","{C And, }  {F uh, } they, {F uh, } will get to playing chase through the house, /"
Uh-huh. /,Uh-huh. /
"Yeah,  /","{C But } he wants your really big ones, {D you know, } the ones that get to be {D like } a foot and a half long. /"
Maybe it's because it's my grandchildren  /,"-- # [ pressure treated,  + # pressure treated lumber yards. ] /"
there we go. /,Uh-huh. /
<Doorbell> <breathing>.,{F Huh? } /
Uh-huh. /,<Laughter>.
<Talking>.,Yeah. /
"{C But, } {D you know, } she has a lot of fun. /",I'll just buy it somewhere else or not buy it at all.  /
"{C But, } no  /",<Laughter> Boys <laughter>. /
# Yeah. #  /,"[ {C so, } + {C but } ] I do enjoy reading that  /"
"{C but } [ that's, + that's ] about it. /",it's weird <laughter>. /
{C and } --,"tha-, - /"
"{C But } [ I think the whole, + {D you know, } ideally <baby> I think, ] {F uh, } business should have the,","{F Uh, } I know the institutions don't work that well,  /"
"{C And, } {F uh, } then you put it on a flour, {D like, } {D you know, } - /",# Yes. # /
"{D Well, } I am kind of a hobbyist  /","Uh-huh,  /"
It is. /,"{C And, } {F uh, } you have to have  it, {F uh, } fairly early in the summer or it is too hot up there. /"
it's ours up here.  /,"{C and } we used to have [ those, + {F uh, } {D you know, } the  ] posted warning days.  /"
"They have the right to, {F uh, } <sniffing>  {D you know, } - /","{C and } <throat_clearing> {E excuse me, } I don't miss a time picking up the morning paper --"
Yeah. /,"Right now,"
[ {C and } -- +,"{C And } after another year we'll cut it fifty percent,  /"
"{D well, } I can't say <noise> that,  /","-- and, {F uh, } Copper,  /"
"I enjoy aerobics,  /",Do you?  /
"-- that she can watch, but won't take too much care. /","I don't have that,  /"
"we like to keep one on hand just for emergencies, {D you know. }  /",we've been fighting a drought here this summer --
"{C And } I still haven't finished it, because [ I, + I ] stopped,  /",Uh-huh. /
Yeah.  /,Yeah. /
# Changing people's expectations. # /,"{C but, }  {F uh, } it seemed like  there were quite a few --"
"{C And then } we put aside so much money each month for birthdays and for Christmas and for, {F uh, } other things. /",No problem at all. /
it seems like most people like spaghetti. /,"See I was raised in the Midwest which,"
"# {C And } it finally # got moth-eaten,  /","{E I mean } if you can, {D you know, } [ [ y-, + y-, ] + ] the trial is supposed to prove, {D you know, }  within a reasonable doubt that the person is guilty, /"
I heard it's a law that you're only allowed to have three layers of shingles.  /,"# [ Most # people, +  {F uh, } a great number of people ] now work [ at  various, + at  different ] jobs that,  if a third of the people are shift workers, they won't be able to get [ to the, + to the ] polls in any case.   If they, {F uh, } have to work late into the evening and not get up.  /"
"I don't like to have a lot of things out, {D you know, }  just all over the place, /",-- and see exactly what's happening. /
"-- {C and }  ] there's no way that we can ever really recover [ from, + from  ] the state that we're in right now, [ unless, + at least I feel, unless  ] we focus on the infra structure,  /","{D Well, } sometimes, [ if, + {D you know, } if ] you're [ in  transportation, + in public transportation -- ]"
"No,  /","Yeah,  / *[[aa]]"
"Yeah,  /",{C so } that's sort of related to her field # a little bit. # /
"{C so, } when I was home I still cooked a lot  /","{C So, } [ I, + what I ]  said that I wasn't being real facetious about that.  /"
"{C and } [ the only, + the only ] way that they had any part in it was after worth as to, {D you know, }  who's going to be going there.  /",Yeah. /
"{D Well, } [ I, + I ] think we'll probably get  [ one, + one ] of his albums, because we do kind of like it,  /",{C and } I think that would make it very hard. /
{C and } I was just scared to. /,it's about. -/
"{C So, } I don't know. /",Yeah. /
"{F Oh, } really? /","{F Uh, } let's see,  /"
Right. /,"[ [ [ [  I, + I, ] + I, ] + I, ] + I'm ] kind of, - /"
"When you <noise>  wrote it out in long hand you were a, -/","{F Oh, } I tell you,  /"
"he was willing to come down a little bit #  [ and, + ] #",Yeah. /
"{C and, }  {F uh, } we put him in Amrein's Day Care, [ after. +","in the hills, you can see quite a few different animals,  /"
"[ ex-, + exactly, ] {C and so, } my husband says, {D Well, } that's fine, {D you know, }  /",# Uh-huh. # /
"probably spend, <breathing> {F uh, } a lot of time, {F uh, } or maybe eventually, <breathing> {F uh, } just waiting it out, /",# tails # of it. /
-- is my biggest hobby. /,{C and then } we got used to it  /
"-- {C but, } {F uh, } I had an experience when I was interviewing for a job [ that, + ] where I had to, {F uh, } {F uh, } do a drug test  /",-- computer. /
# Oh.  # /,"{C and } [ I, +  I ] said, I want you to have control of your own business. /"
"It's just primarily the price that's, {F uh, } satisfying at this point. #  /",{C and } we're waiting on my sister. /
{F Oh } <laughter>. /,"{F Oh, } yeah,  /"
{F Ooh. } /,"{C So, }  did people come {D like } from out of town to the reunion  /"
<Tone> <static> {F Oh } yeah. /,"{C or, } about the only new music I hear is somebody else that I know --"
"{F Uh, } hundreds of miles out  /",It's just a real fancy decorated boot.  /
"There's another place in Mesquite called Monkey Business, /","<Smack> {F Uh, } lots of different kinds I guess.  /"
"the most recent ones that I've seen are those two, GHOST and, {F uh, } DANCES WITH WOLVES,  /",Uh-huh.  /
right. /,"{F uh, } I don't know how exactly I feel about that. /"
"Well, I think, if it's, - /",Bite the bullet.  /
"{F Um, } there's a lot of parking garages there because parking is very tight.  /","Oh yes,  /"
"People actually park their car when they get to their place they're staying, townhouse or condominium, whatever they own/","{C and so } [ it's, + it's ] handy [ to, + to ] station yourself there on the land --"
Uh-huh. /,I have got to go.  /
Yeah. /,"a little bit, {D yeah } <noise>. /"
Right. /,"it's nice [ [ to, + to, ] + to ] watch that early news --"
I think they're going to stay there  /,Oh. /
"I guess that's what [ I, + I ] hope for them.  /","First off,"
"{C So } I got busy, got together, and put a reunion together for his family.",Uh-huh. /
"<TV> {F Uh, } {D well } what would you say your opinion is on gun control? /","(( some ))  nights his mother calls me and says can your family, - /"
"[ {C but, } + {C and } ] I can use either  the Pro Printer  /",It's has kind of the split population.  /
"{F Oh, } I can imagine. /","{D well, } we've got a good size dog,  /"
"{F Oh, } really?   /","{F Oh, } uh-huh. /"
"[ I, + I ]  just, admire her a lot. /","this thing that you thought you  got on sale, by the time you get done paying with that with all the finance charges  because you pay it off over a long period of time,  /"
"-- {C and, } {F um, } [ [ when, + when ] you do that, they automatically, +  once you start with their service, they ] close your accounts out. /",uh-huh. /
"{F Uh, } no.  /","{F Uh, } {C because } I have [ a, + an ] economy car right now, which is okay,  /"
"If, - /",{C and } they nearly drove me crazy listening to telephone conversations  /
"{C and, }  {D boy, } I could, -/",It comes out around the eighteen or  nineteen local driving -- /
There is more energy in it per pound or # whatever. # /,Uh-huh. /
Uh-huh. /,"-- [ I don't, + I don't ] know. /"
Yeah. /,{C and } the people quoted thirty thousand dollars to paint it or  something. /
"You bet,  /","{C because } her effort would have really, {F um, } really, {F uh, } been a good example for all of us.  /"
"# [ it's, + I # notice [ it's  like, + it's like ] ]  THIS OLD HOUSE,  /","{F Oh, } it is,  /"
"{E I mean, } [ the-, + they're ] throwing more money at it now than ever before  /","{D well } I'm sure,  /"
I also think that would be really good.  /,{C and } it was just hanging by a thread.  /
"{D Well, } [ I, + {F um, } I,  ] - /","-- [ I have, + {C so } I have ] to take that into consideration when I evaluate {D like } how much I get paid ((real,)) {D you know, } because if I was working somewhere else I'd have to, {D you know, } pay an extra five percent,"
# Bye. # /,"# {F Oh, } all right. # /"
Yeah. /,How does it do that? /
Yeah -- /,"I, {F uh, } have, {F uh, } a bread recipe that is real easy that everyone always really does like."
"Yeah,  /","{C And, } {F uh, } my husband liked it. /"
"{D see, } am I good, or what? /","{C And } that, - /"
Yeah.  /,"{C So } lots of times,"
"[ they just,  + they ]  had a ball romping around, /","[ ex-, +"
"-- {C and } ] we, - /","{F Oh, } yeah,  /"
"{C but } I have not been able to yet, {D you know, } for one reason or another. /","{F Um, }"
"[ {C so, } it's, + {F um, } {C so } I don't ] exercise as much as I'd like. /","{F Um, } let's see,  /"
"{D actually } three fifteen over there's probably not real, real bad. /","{D So, }  {F uh, } -/"
"my husband and I like veal, # {F uh } # --","What's the, - /"
{C and then } you'll throw it away rather than have it fixed -- /,{F Oh } --
"{C but } [ it was, + it was ] saying don't do STAR  TREK management style.  /","Yeah,  /"
Huh-uh. /,I found about it on the network. /
Uh-huh. /,"{D you know, } occasionally, some ice skating will come on, on a Sunday or during the Olympics -- /"
Uh-huh.  /,"that, {F uh, } - /"
right. /,Oh. /
I learned to shoot when I was real # little. # /,Yeah. /
# Uh-huh.  # /,Uh-huh. /
Philadelphia? /,"Yeah,  /"
Yeah. /,"{C and } it seemed like it would, - /"
Uh-huh. /,"{C and } I made, - /"
"{F Uh, } about the only memories that I have of boating, {F uh, } - /","the, {F uh,  } - /"
yep. /,"Are, are,"
than if you all were in your own hotels or something. /,"{C But } it'll save in some areas,  /"
"She ] [ likes, +  {F uh, } likes ] those.  /","I used to watch, {F uh, } DALLAS.  /"
God. /,"Yes,  /"
The motivational factor is probably # ... /,yeah. /
"Yes,  /","{F Oh, } I know.  /"
"-- I love to make things from scratch, {D you know. }","where they could put it in one segment,  /"
I didn't see a thing about it.  /,"-- {F uh, } # not to where she feels different,  /"
"Yeah,  /",-- so I could graduate. /
"We messed up the conversation, anyway. /",No. /
yeah. /,Yeah.  /
"# [ I don't, + # I don't ] either.  {F Uh, } to make it  totally honest.  /","{C and } [ it was, + it was ] the alternator that was  blowing the fuse.  /"
It's like they would go almost every day to the store.  /,"That the <<very faint>>, -/"
"{D Well, } that's true. /","{D well, } I don't know [ mu-, +  that much ] about it. /"
I suppose. /,"not locking him up, but putting him in a home and just, -/"
"{C because } you as an employee, even the company is making money,  /",Oh. /
"Yes,  /","{C and } that would upset a lot of people too,"
"Yeah,  /",Uh-huh. /
"maybe you don't,  /","-- [ I, + {F uh, } I ] know who they are.  /"
do you have kids? /,<Laughter>.   *[[slash error]]
{C and then }  you were reimbursed.  /,Uh-huh -- /
# Yeah. # /,"((   ))  I know that there's certain issues that can really motivate people because we live in a [ [ pr-, + pr-, ] + predominately ] Catholic type area, /"
"Yeah,  /","every once in awhile, I have to travel overseas  /"
And get rid of the American Express   because it costs so much. /,"{C But, } {F oh, } shoot, {E I mean, }  blowing up galaxies [ and + --"
"{C and } when you opened up the bank deregulation without any controls, I thought, {D well, } that was the philosophy, {D you know. }  /",it's not connected to another one? /
it does.  /,"Yeah,  /"
Yeah.  /,Uh-huh. /
"we've gotten different programs at work, {D you know, } [ to, + to, ] {F uh, } make it visible to management that we are doing things better, /","{C So } [ I  don't, + I don't  ] even know how much, {F um, } personal computers cost nowadays. /"
Things to hang on the wall. /,"{D You know, } [ it's, + it's ] so easy to get caught up  on reading just for your work, or, {D you know, } self improvement,  /"
Uh-huh. /,Uh-huh. /
"{C and } my cousins, they just go stay with their mom and dad, {D you know } --","{F Oh, } my golly. /"
"Yeah, /","<laughter> {C because } it wasn't a tremendous  [ thing, + amount of things ] [ to do. +"
Did you care for SLEEPING WITH THE ENEMY? /,I do skim over it. /
"{C so, } -/","I tried exercise classes,  /"
"Up to a point,  /",What are you going into? /
-- {C and } I think it is a big problem with them using drugs --,"<<imitating a crying child>>.   She's so nice,  /"
"{C And, } <breathing> I don't know who was here or whether Jay called a friend  /",Uh-huh. /
"{C and, } they want, - /","<Lipsmack> {C And so } [ the second question, +    forgot what the second question, ] /"
"{F Um, } yeah,  /",Huh-uh.  /
{E I mean } how. -/,Huh. /
"Right,  /","<Laughter> Yeah,  /"
{C but } # --,"{C but, } I don't know,  /"
"{D Well, } yeah.  /","{C and } it's in the sixties,  /"
# Yeah # -- /,they took the top management and gave them jobs --
# <Thumping> Uh-huh. # /,"{F Uh, } as I say, I worked with  ((   ))  /"
"People put them in, -/",{C and so } I was willing to take a half time job to do that.  /
Uh-huh. /,because I moved out some apartments before because they were loaded with drug dealers. /
"[ That, + that  ] books influence, - /",I read a book while I'm doing it. /
I'd better get back to the subject. /,I know <laughter>.  /
"[ I'm, + I'm  ] hoping that this, {F uh, } solo flex will, {F uh, } {F uh, } change things a little bit,  /",{C but } it was too crowded -- /
"and you want to be with the children,  /",# {E I mean } # we'd done everything we could to keep out the weather.
"it because it's like, if we sell it for  less, {D you know, } it's like we're losing money, {D you know. } /",Uh-huh. /
I'm not that focused on something. /,Right. /
In Dallas. /,Right. /
"[ Un-, +  un-, ] {F uh, } - /","[ {C and, } + {C and, } ] {F uh, } {F uh, } Tom Jones, our [ environmental, +  corporate environmental ] guys handle the project. /"
"{C but, } {D you know, } I don't know,  /",# <Laughter> #   You know right away # what you want <laughter>. # /
"{C and, } -/","{C But } anyway, -/"
"{C Because, }  {D well } it's  nice to know that when [ I'm actually, + ] {D you know, }  I do start working that, I like to know where my tax dollars are going too. /","we couldn't get the light, - /"
"I'm sure she's, {D you know, } dead now, because my grandmother  died [ in, + about ] twenty years ago. /",Bye-bye. /
"I want to write this down because, - /","I was like, God, how much were those bottles <laughter> {D you know? }  /"
"You, too. /","{C But, } do you need air conditioning down there? /"
"{D Well, } yeah,  /","Yeah,  /"
"{C but, } {F uh, } it's on the books. /","Yeah,  /"
{C And } I check that everyday.  /,"of course, they had to [ be, +  be, ] {F uh, } grown in greenhouses and stuff  (( and in )) , -/"
-- that's for sure. /,"-- then, ] {D you know, } the defense  lawyer addressed each and every one of those blows apparently # /"
"{D So, }  <laughter> [ I kind of, + I think ] I enjoyed it more [ when I, + when I ] watched it on video cassette than I did, {F uh, } in the movie theater because my attention would get diverted every time they'd say that.  /","{F uh, } I think you're right there.  /"
"My parents, {F uh, } were sailing, {F uh, } this last year down off, {F uh, } Costa Rica  /",Uh-huh. /
"out here, {D you know, } we don't have as many trees in Plano,  /","{C But } [ the, + the  ] movie did not have anything to do [ with, + with  ] the story that I am talking about.  /"
Uh-huh. /,"that's perception,  /"
okay. /,-- tough. /
sure  /,"-- and that there would be some opportunity for friendships that way, so  that you would feel happy going to work every day  [ and + ] --"
"# {C And } [ our top-, + # {D okay, } our topic ]  was, - /","they would tell more about the people that were killed, where they were from and  how old they were.  /"
Uh-huh. /,<Throat_clearing>  That sounds fun  /
"Right,  /","{F Oh, } really? /"
"Huh,  /","{C and } you mix it with one tablespoon onion juice and one tablespoon lemon juice, one tablespoon worcester sauce and  mix it and spread it out onto a plate.  /"
"I, - /","{F Oh, } uh-huh. /"
the whole big sad story. /,every state's got one. /
I can see that.  /,yeah. /
"women do a little bit, {F uh, } - /","{C but } they're # all, #"
He is a character --,Yes <laughter>. /
{C but } he's very protective of our property. /,"{F Uh, } /"
"{D You know, } I don't recycle my newspapers myself,  /",<Laughter> It was nice talking to you. /
"Still could come,  /",He really is good. /
"[ That's, + that's ] nice.  /",-- are going to have a baby in July. /
"And, {F uh, } stayed in for ten years. /",I mean that. /
What kind of work do you do? /,"Uh-huh,  /"
{D Well. } -/,"It's [ not, + not  ] to me personally,  /"
"-- {C because, } {F uh, } I've got relatives there  /",Yeah.  /
"{C and, } {F uh, } been all over the place. /","{C So, } hopefully we'll have a good year.  /"
"Fish in Colorado [ s-, + ]  different than that. -/","Right,  /"
"I would think  that, - /","That will, # -/"
it's so hot. /,"actually [ I, + I've  ] always wondered [ whether, + how ] the education system works in the Russian countries,"
{C and } I do not watch a lot of television  /,"I want to make some flower beds,  /"
"{C so, } -/","-- or having more with baby sitters, - /"
"{F Oh, } I know it. /","-- {C and } I have, {F uh, } [ one, out of, +   two out of ] state, both in Missouri,  /"
<Laughter>.,# Right. # /
"{C And } each is putting out, - /","{C and } it's, -/"
"We'd be going again [ this, + this ] year if circumstances hadn't changed.  /","{F Uh, } yeah.  /"
"I think they advertise more, {F um, } other places where they're not located. /",they don't know what's going  to happen just out front of their apartment complex. /
Uh-huh. /,Yeah.  /
that's cute. # /,"instead of bringing home a computer, you just bring home a few floppy disks, {D you know. } /"
"-- {C and } it just seems like she doesn't have any time for her.  Which is kind of sad, {D you know. } /",Uh-huh.  /
